Index,zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,target
67,15214,4,1,0,0,5,PA,2940.0,1970.0,910.0,540.0,550.0,50.0,2
68,15215,15,28,6,3,52,PA,2070.0,1330.0,750.0,550.0,920.0,700.0,2
69,15216,28,40,10,0,78,PA,4000.0,3490.0,1840.0,1090.0,1490.0,400.0,2
70,15217,52,74,13,4,143,PA,3440.0,2330.0,1600.0,1010.0,1970.0,1810.0,3
71,15218,7,18,2,1,28,PA,2510.0,1980.0,1030.0,650.0,830.0,300.0,2
72,15219,32,60,7,2,101,PA,2690.0,1320.0,440.0,220.0,230.0,90.0,1
73,15220,19,25,6,4,54,PA,2720.0,2300.0,1620.0,1220.0,1410.0,240.0,2
74,15221,16,15,4,0,35,PA,6140.0,4420.0,1990.0,1160.0,1230.0,300.0,2
75,15222,102,166,37,7,312,PA,660.0,510.0,430.0,300.0,510.0,430.0,3
76,15223,9,13,1,1,24,PA,1470.0,1190.0,630.0,340.0,260.0,20.0,2
77,15224,26,45,6,1,78,PA,2200.0,1970.0,820.0,270.0,330.0,90.0,2
78,15225,1,3,0,0,4,PA,230.0,200.0,90.0,50.0,40.0,0.0,2
79,15226,8,19,4,2,33,PA,2470.0,2170.0,1300.0,750.0,670.0,50.0,2
80,15227,13,21,3,0,37,PA,5100.0,4240.0,2500.0,1530.0,1670.0,190.0,2
81,15228,21,31,4,2,58,PA,2360.0,1440.0,990.0,850.0,2000.0,1170.0,3
82,15229,6,20,3,1,30,PA,2360.0,1890.0,1360.0,910.0,1070.0,180.0,2
83,15232,44,58,5,2,109,PA,1290.0,1400.0,860.0,380.0,570.0,550.0,2
84,15233,5,18,2,0,25,PA,590.0,470.0,190.0,100.0,120.0,50.0,2
85,15234,17,34,2,0,53,PA,2380.0,2120.0,1240.0,800.0,960.0,150.0,2
86,15235,16,32,4,0,52,PA,6500.0,5330.0,2840.0,1710.0,1670.0,300.0,2
87,15236,21,49,5,0,75,PA,5020.0,3770.0,2690.0,1960.0,2630.0,390.0,2
88,15237,62,122,18,0,202,PA,6180.0,4160.0,3230.0,2720.0,4760.0,1630.0,3
89,15238,18,23,5,3,49,PA,1840.0,1020.0,710.0,560.0,1180.0,1600.0,3
90,15239,7,14,1,0,22,PA,3430.0,2370.0,1720.0,1320.0,1890.0,300.0,2
91,15241,20,48,15,2,85,PA,2700.0,1220.0,1010.0,940.0,2550.0,1890.0,4
92,15243,3,6,1,0,10,PA,1790.0,1030.0,950.0,900.0,1710.0,760.0,3
93,15317,32,66,7,2,107,PA,5700.0,3590.0,2620.0,2230.0,4450.0,1910.0,3
94,15321,2,3,0,0,5,PA,280.0,180.0,140.0,130.0,150.0,30.0,2
95,15332,0,3,0,0,3,PA,1380.0,950.0,670.0,510.0,610.0,140.0,2
96,15342,1,2,0,0,3,PA,870.0,610.0,390.0,290.0,370.0,50.0,2
97,15367,1,0,0,0,1,PA,1350.0,470.0,360.0,340.0,1010.0,980.0,4
98,15632,3,4,3,0,10,PA,1550.0,870.0,580.0,460.0,920.0,420.0,2
99,15636,1,2,1,0,4,PA,590.0,310.0,200.0,210.0,510.0,160.0,3
100,15637,1,1,1,0,3,PA,360.0,230.0,160.0,90.0,90.0,0.0,2
101,15642,22,34,5,1,62,PA,7410.0,4750.0,3370.0,2750.0,4510.0,910.0,2
102,15668,16,12,4,0,32,PA,2010.0,990.0,810.0,750.0,1700.0,760.0,3
103,16930,0,1,0,0,1,PA,200.0,130.0,110.0,70.0,80.0,0.0,2
104,18447,2,0,0,0,2,PA,1960.0,1440.0,830.0,500.0,540.0,70.0,2
105,19355,4,6,2,0,12,PA,3260.0,1760.0,1360.0,1230.0,2760.0,2670.0,4
106,19362,1,2,1,0,4,PA,840.0,680.0,420.0,270.0,360.0,70.0,2
107,19464,3,1,0,0,4,PA,8490.0,5530.0,3330.0,2230.0,3070.0,490.0,2
108,23919,1,0,0,0,1,VA,390.0,270.0,170.0,110.0,130.0,30.0,2
109,27560,0,1,0,0,1,NC,3150.0,2960.0,2460.0,2180.0,3460.0,1030.0,3
110,28012,14,34,4,4,56,NC,3450.0,2540.0,1570.0,1030.0,1700.0,610.0,2
111,28016,1,0,0,0,1,NC,2400.0,1570.0,760.0,400.0,330.0,40.0,2
