,neighborhood,city,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,regionid,county,state,geometry,Rent
0,Agritopia,Gilbert,4,7,0,0,11,417693,Maricopa,AZ,"POLYGON ((-111.73834 33.32327900000013, -111.7376036809999 33.323787425, -111.7367363709997 33.32438629900017, -111.7359199999999 33.32495000000019, -111.7357446969999 33.32506580600018, -111.7350471659999 33.32552659900002, -111.7343322929999 33.32599884900019, -111.7340605859999 33.3262093850002, -111.7339899999999 33.32627000000016, -111.7338699999999 33.3262, -111.7333539379999 33.32642213700004, -111.7316899239998 33.32713840600007, -111.7298099999999 33.32793, -111.7292142949999 33.32812300400018, -111.7281980219998 33.32842927800012, -111.7277246889998 33.32845712100002, -111.7268476309999 33.32845712100002, -111.7266945149998 33.32860693200007, -111.7261793509999 33.32860375600016, -111.7254972809999 33.32860066900017, -111.7250533519999 33.32860475100016, -111.7244501559998 33.32861029700008, -111.7227180419999 33.32862622500016, -111.72122 33.32864000000014, -111.7212166969999 33.32779771600008, -111.7212108969999 33.32631873500019, -111.7212041269999 33.32334145300005, -111.7211999999998 33.32141, -111.7217256439999 33.32140754400018, -111.7234380499999 33.32139954200005, -111.7259095439999 33.32138799300007, -111.7272716849999 33.32138162800017, -111.72976 33.32137, -111.7301710969999 33.32136799500002, -111.7314165749998 33.32136191900005, -111.7338599999999 33.32135, -111.7345494919999 33.32134660300002, -111.7371177339999 33.32131444300003, -111.73834 33.32128900000014, -111.73834 33.32174577500019, -111.73834 33.3225046990001, -111.73834 33.32327900000013))",16.54
1,Ahwatukee Foothills,Phoenix,168,298,53,10,529,267900,Maricopa,AZ,"POLYGON ((-111.9804587619999 33.36338567600006, -111.9757422809999 33.36329833300004, -111.9744321469999 33.36347301800003, -111.9721612479999 33.36356036000006, -111.9690857539999 33.36356036000006, -111.969946 33.359918, -111.9698053339999 33.35989681500006, -111.9697799999999 33.359893, -111.9698039999999 33.359796, -111.9698619999999 33.359569, -111.9700259999999 33.358947, -111.970483 33.357213, -111.9708359999999 33.355852, -111.97087 33.355719, -111.9709449129999 33.35540678000006, -111.9710189999999 33.355098, -111.9712359999999 33.354104, -111.9713549999999 33.353479, -111.971408 33.353389, -111.971454 33.353281, -111.97159 33.35278, -111.971838 33.351937, -111.9721419999999 33.351044, -111.9722359999999 33.350769, -111.9727289999999 33.34941, -111.9727709999999 33.349293, -111.972801 33.349182, -111.9728159999999 33.349069, -111.9728179999999 33.349033, -111.9728146979999 33.34895341500003, -111.9727979999999 33.348551, -111.9727739999999 33.348287, -111.9725186919999 33.34667536500006, -111.9725185589999 33.34667453100007, -111.9725019999999 33.34657, -111.972487 33.346456, -111.9724759999999 33.34637, -111.9724589999999 33.346134, -111.9724489999999 33.345205, -111.972446 33.344237, -111.9724319999999 33.34415, -111.9724 33.344061, -111.9724169999999 33.343017, -111.9724174109999 33.34279679400003, -111.972418 33.342481, -111.972406 33.341872, -111.9723962359999 33.33962728900007, -111.972395 33.339343, -111.9723937069999 33.33906366500008, -111.9723929999999 33.338911, -111.9723909999999 33.338382, -111.9723849999999 33.337091, -111.97238 33.336578, -111.9723709999999 33.335737, -111.9723669999999 33.335409, -111.9723679999999 33.33523, -111.9723709999999 33.334365, -111.9723759679999 33.33326008800008, -111.9723760019999 33.333253, -111.9723761419999 33.33322496200008, -111.9723761419999 33.33322487000002, -111.9723849999999 33.331474, -111.9723869999999 33.329411, -111.9723877119999 33.32867950800004, -111.9723877389999 33.32865206100006, -111.9723877389999 33.32865199300004, -111.9723885599999 33.32780908200004, -111.9723889999999 33.327357, -111.9723889999999 33.32714468900007, -111.9723889999999 33.326673, -111.9723899999999 33.326019, -111.9723899999999 33.325735, -111.9723839999999 33.325637, -111.9724 33.322121, -111.9724119999999 33.320763, -111.972419 33.319916, -111.9723849999999 33.314621, -111.972377 33.313363, -111.972374 33.309759, -111.9723679999999 33.309477, -111.9724 33.30894, -111.9722479999999 33.306407, -111.9720319999999 33.306358, -111.971952 33.306336, -111.971569 33.306232, -111.9713489999999 33.30538, -111.971339 33.305269, -111.9714379999999 33.304353, -111.9713769999999 33.303782, -111.971237 33.303037, -111.9711769999999 33.302593, -111.971006 33.301586, -111.9709899999999 33.301298, -111.9709859999999 33.301223, -111.971008 33.300809, -111.9710159999999 33.300551, -111.9710819999999 33.300081, -111.9711679999999 33.299816, -111.971184 33.299773, -111.9711959999999 33.299729, -111.9712809999999 33.29947, -111.971587 33.298369, -111.971665 33.297883, -111.97168 33.297786, -111.9716859999999 33.297742, -111.9716939999999 33.297697, -111.9717399999999 33.297412, -111.971793 33.2971, -111.9718319999999 33.296841, -111.9718899999999 33.296447, -111.9724789999999 33.29645, -111.9725269999999 33.296825, -111.97256 33.297078, -111.9726579999999 33.297438, -111.972645 33.29773, -111.972649 33.29778, -111.972651 33.297825, -111.9726549999999 33.29787, -111.9727079999999 33.29862, -111.9727689999999 33.298921, -111.972871 33.299348, -111.973161 33.300185, -111.9732609999999 33.300575, -111.973342 33.300891, -111.9733619999999 33.301428, -111.9733529999999 33.301599, -111.973257 33.3022, -111.9730569999999 33.303285, -111.973031 33.303967, -111.973072 33.305256, -111.9731367639999 33.30517214800005, -111.9734233489999 33.30480109600005, -111.9746869999999 33.303165, -111.973551 33.299259, -111.973162 33.297921, -111.9729989999999 33.297361, -111.9729539999999 33.297207, -111.9729099999999 33.297055, -111.9728369999999 33.296804, -111.9727189999999 33.296351, -111.9725764949999 33.29629880700008, -111.9724759999999 33.296262, -111.9720529999999 33.296107, -111.972014 33.292251, -111.972059 33.291624, -111.9721209999999 33.290763, -111.9724549999999 33.290737, -111.973933 33.290749, -111.9739389939999 33.29074899700003, -111.975912 33.290748, -111.9779729999999 33.29074, -111.9786002339999 33.29074114700005, -111.9796129999999 33.290743, -111.97978 33.290732, -111.979987 33.290697, -111.980167 33.290681, -111.9804199999999 33.290681, -111.9898 33.291421, -111.989802 33.291421, -111.989804 33.291421, -111.9920359999999 33.291597, -111.9953809999999 33.291584, -111.997071 33.291578, -111.9972239999999 33.291569, -111.997413 33.291562, -112.0001279999999 33.291549, -112.0009839999999 33.291528, -112.002841 33.291448, -112.002931 33.291444, -112.003604 33.291421, -112.005318 33.291367, -112.0054181659999 33.29136320600008, -112.00545 33.291362, -112.0085178209999 33.29126169700003, -112.0088449999999 33.291251, -112.0095545209999 33.29122656700007, -112.0107095569999 33.29118679200007, -112.011778 33.29115, -112.012294 33.291142, -112.0143334629999 33.291142, -112.0143636369999 33.291142, -112.0144859999999 33.291142, -112.0145818059999 33.29114170500008, -112.0170363569999 33.29113415700004, -112.0183879999999 33.29113, -112.0217999879999 33.29112599800003, -112.0223184849999 33.29112539000004, -112.023504 33.291124, -112.0245776539999 33.29112513300003, -112.0250454649999 33.29112562600005, -112.0272959999999 33.291128, -112.0286090909999 33.291128, -112.0297479999999 33.291128, -112.0300454549999 33.291128, -112.031722 33.291128, -112.031952 33.291131, -112.0321569999999 33.291133, -112.0339869999999 33.29113099800008, -112.0339970039999 33.29113098600003, -112.0381818009999 33.29112501800005, -112.0402979999999 33.291122, -112.0449142969999 33.29111905900003, -112.0449545469999 33.29111903400007, -112.0468909089999 33.29111780000004, -112.0471818179999 33.29111761500007, -112.0474818179999 33.29111742400004, -112.0481469999999 33.291117, -112.0498363539999 33.29111347600007, -112.0500727159999 33.29111298300005, -112.0507000049999 33.29111167400003, -112.0530090859999 33.29110685700004, -112.0534199999999 33.291106, -112.0551545399999 33.29110482500004, -112.0551776739999 33.29110481000003, -112.0578499999999 33.291103, -112.0610499999999 33.291096, -112.0634189999999 33.291089, -112.0647129999999 33.291083, -112.067118 33.291081, -112.0702369999999 33.291074, -112.074479 33.291065, -112.078398 33.291052, -112.07889 33.291052, -112.080601 33.29105, -112.0816119999999 33.291041, -112.0821439999999 33.291038, -112.0829769999999 33.291043, -112.0835379999999 33.291043, -112.0851419999999 33.291034, -112.0853469999999 33.291033, -112.0868339999999 33.29104, -112.0877229999999 33.291035, -112.0882689999999 33.291036, -112.0925869999999 33.29103, -112.093198 33.291024, -112.093575 33.291023, -112.0943679999999 33.291021, -112.0949915419999 33.29101959600006, -112.096589 33.291016, -112.0970729999999 33.291016, -112.099723 33.291005, -112.1003369999999 33.291003, -112.101156 33.291006, -112.101225 33.291006, -112.101682 33.291012, -112.102356 33.291035, -112.1031809999999 33.291058, -112.103905 33.291064, -112.1052689999999 33.291054, -112.105891 33.291054, -112.107016 33.291054, -112.1111879999999 33.291032, -112.1131879999999 33.291021, -112.1149709999999 33.291016, -112.1170369999999 33.290995, -112.1171159999999 33.290998, -112.1286839999999 33.290486, -112.1331716219999 33.29028733200004, -112.1337889999999 33.29026, -112.1338379999999 33.290337, -112.1400789999999 33.296756, -112.1424099999999 33.299163, -112.143192 33.299971, -112.143574 33.300365, -112.1448 33.301551, -112.1480039999999 33.304646, -112.1480328769999 33.30467338700003, -112.1482648469999 33.30489338500006, -112.1179354699999 33.31796770400006, -112.0482267219999 33.34825327700008, -111.9970537899999 33.37046039800003, -111.9804587619999 33.37054774000006, -111.9804587619999 33.36942561700004, -111.9804587619999 33.36338567600006))",16.41
2,Alhambra,Phoenix,181,328,49,12,570,272734,Maricopa,AZ,"POLYGON ((-112.1122100118656 33.55314003317604, -112.0655400234076 33.55275005656717, -112.0652136811136 33.55275094138526, -112.0651951953685 33.5509112155915, -112.0651806475299 33.55006381508255, -112.065165970861 33.5491555814752, -112.0651526162493 33.54818707076961, -112.06514 33.54709649840039, -112.06514 33.5466120884089, -112.065134547258 33.54588468613778, -112.0651220485208 33.54497737219655, -112.06511 33.54382673095844, -112.0651012318422 33.54291927368742, -112.06509 33.5419496422418, -112.0650792286042 33.54092013432111, -112.0650649202467 33.54007264920462, -112.065050907823 33.53916356853024, -112.0650407251891 33.53861879761964, -112.0650399999999 33.53789270856391, -112.0650399999999 33.5371660935768, -112.0650459246837 33.53668263606598, -112.0650478556214 33.5361368568318, -112.0650427007562 33.53516774218737, -112.0650260885407 33.53425992712149, -112.0650031210601 33.53353369484149, -112.0649949224617 33.53310879938045, -112.0649903278335 33.53244361323456, -112.0649850962347 33.53147459745716, -112.0649948358847 33.53050527147101, -112.0649874412214 33.52947525191372, -112.0649854050321 33.52868930271378, -112.0649899999999 33.52796230374022, -112.0649806007989 33.52638770604843, -112.064974422116 33.52572226190109, -112.0649631734368 33.52451077914574, -112.0649608453189 33.5230577970614, -112.06498 33.52112001261187, -112.0649857946689 33.51905834334857, -112.0649000154895 33.51874002216644, -112.0649000568488 33.50222132441083, -112.0656584678504 33.50235921732028, -112.0677037544808 33.50322039063835, -112.0697490411111 33.50354333063248, -112.0709089278982 33.50358628940236, -112.070986971424 33.5036285144586, -112.0730190758842 33.50396153610406, -112.0761504432444 33.50396153610406, -112.0776828556068 33.50359517659094, -112.0783823320934 33.50306192269452, -112.0801479431545 33.50326210908022, -112.0824099934656 33.50271000359506, -112.086244119838 33.50139647902009, -112.0890423648287 33.50093010500503, -112.0911000154305 33.50042999742053, -112.0954800167846 33.50084000822611, -112.0995500020503 33.49989998108322, -112.102001034094 33.49889818310727, -112.1032233611199 33.49648942549416, -112.1052888502125 33.49562343054055, -112.1070501238435 33.49529015618569, -112.1080000453275 33.4940454810073, -112.1086533614129 33.49235878275628, -112.109319570179 33.49142595918268, -112.1107520462801 33.49055981224372, -112.1129101241728 33.49035013801054, -112.1130999422749 33.47744011577183, -112.1515100338104 33.5097199912852, -112.1517242316332 33.5099001030047, -112.1516818196064 33.50991818207539, -112.1515998347122 33.50997264142016, -112.1516059995647 33.51006099980956, -112.151607999657 33.5101429999922, -112.1516459996101 33.5129210003448, -112.1516620003475 33.51346600028634, -112.1516659996326 33.5137449996574, -112.1516210002563 33.51448699968692, -112.1516240003945 33.51601900015962, -112.1516240003945 33.51669099966038, -112.1515929998648 33.51711600036558, -112.1516309998178 33.51898300009302, -112.1516299997717 33.51960199984838, -112.1516180001179 33.52030299978648, -112.1516020002798 33.52101500023175, -112.1515800001649 33.52160799968814, -112.15157099975 33.52210500011508, -112.1515708099931 33.52213153011488, -112.1515580000502 33.52391800005122, -112.1515477909464 33.52561825198459, -112.1515470004425 33.52574999996387, -112.1515620002344 33.52615199960891, -112.1515699997041 33.52632000015856, -112.1515739801034 33.52686354499703, -112.1515790001188 33.52754900015393, -112.1515820002571 33.52770700024259, -112.1515640003268 33.5282760003911, -112.1515699997041 33.5284490002721, -112.1515610001883 33.52900399977526, -112.1515210001432 33.53057999957845, -112.1515400001197 33.53118000025683, -112.1515260003736 33.53262799955544, -112.1515240002815 33.53280300042789, -112.1515099996361 33.53323100037201, -112.1515030002129 33.53346100018249, -112.1515149998667 33.53385000012745, -112.1515220001893 33.53406200000742, -112.1514790000058 33.53481599969055, -112.1514899996136 33.53496200012567, -112.1515000000744 33.53606799984698, -112.151506000351 33.53627100021142, -112.1515159999127 33.53663599994959, -112.1515279995666 33.5384520000239, -112.1515260003736 33.54026299986794, -112.1514769999136 33.5420850002188, -112.151482000144 33.54270900020489, -112.1514830001901 33.54280600017952, -112.1514840002363 33.54303099975946, -112.1514840002363 33.54325800033077, -112.1514850002824 33.54425100023948, -112.1514709996369 33.54443199958974, -112.1515000000744 33.54496699996965, -112.1514880004206 33.54570699990698, -112.1515109996822 33.54644299965959, -112.1515169999587 33.54663500041622, -112.1515270004197 33.54755299956545, -112.1515529998196 33.54936799959385, -112.1515640003268 33.54946300037576, -112.1516030003258 33.55107099985528, -112.1516129998874 33.55311899983244, -112.151614179798 33.55320948511828, -112.1513498717516 33.55320929176398, -112.151209890479 33.55320904355115, -112.1122100118656 33.55314003317604))",13.07
3,Alta Mesa,Mesa,9,20,2,0,31,417851,Maricopa,AZ,"POLYGON ((-111.7016699999997 33.44462900000408, -111.7016756189722 33.44439648691743, -111.7016793298214 33.44424293198226, -111.7016883675056 33.44386895261141, -111.7016984398101 33.4434521606446, -111.7017063916295 33.44312311435501, -111.7017148735705 33.44277213164598, -111.7017199999999 33.4425600000004, -111.7017199999999 33.44235513850179, -111.7017199999999 33.44218900000025, -111.7017259148434 33.44196029270946, -111.7017333040644 33.44167457616268, -111.7017401113416 33.44141136144866, -111.7017463806875 33.4411689467479, -111.7017499999997 33.44102900000038, -111.7017399999997 33.44090000000036, -111.7017420185556 33.44077484953171, -111.7017462656891 33.4405115272694, -111.7017499999997 33.44026996161764, -111.7017499999997 33.44004000000026, -111.7017449141834 33.43996371275476, -111.7017399999997 33.43989000000028, -111.701743204116 33.4397209027583, -111.7017490246548 33.43941372382303, -111.7017556766994 33.43906266218247, -111.7017610972411 33.43877659309423, -111.7017685650354 33.43838248025427, -111.7017768958463 33.43794282169831, -111.7017799999998 33.43759215551386, -111.7017799999998 33.43739000000038, -111.7017799999998 33.4370434247549, -111.7017799999998 33.43664833860834, -111.7017799999998 33.4361654555404, -111.7017799999998 33.43568257247266, -111.7017799999998 33.43535333401714, -111.7017799999998 33.43517000000036, -111.7017799999998 33.43491434941007, -111.7017799999998 33.43464900000024, -111.7017799999998 33.43443146634214, -111.7017799999998 33.43414612634749, -111.7017799999998 33.43388273558318, -111.7017799999998 33.43365000000037, -111.7017799999998 33.43333400482421, -111.7017799999998 33.43305895779159, -111.7017799999998 33.4329100000038, -111.7017899999996 33.43260000000551, -111.7017899999996 33.43237285854165, -111.7017882709469 33.4321041534703, -111.7017799999998 33.43155000000549, -111.7017805501228 33.43089585578777, -111.7017899999996 33.43016900000545, -111.7024814743915 33.43016900000545, -111.7030856963872 33.43016811139751, -111.7041598112729 33.43016526815222, -111.7056367192407 33.43016135868978, -111.7061499999998 33.43016000000542, -111.7064423007854 33.43016000000542, -111.7069599999996 33.43016000000542, -111.7077849538005 33.43016000000542, -111.7094297037433 33.43016000000542, -111.71047 33.43016000000542, -111.710839489409 33.43016000000542, -111.71131 33.43016000000542, -111.712652065532 33.4301557578443, -111.713894007162 33.43015183216674, -111.7147899999999 33.43014900000557, -111.7152366575395 33.43014803135055, -111.7161429440621 33.43014606590994, -111.7172842665512 33.43014359075261, -111.7184926485813 33.43014097016513, -111.71906 33.43013144211532, -111.71906 33.43014000000056, -111.7190817181644 33.43042295411457, -111.7190899999998 33.43075729105084, -111.7190999999998 33.43104000000042, -111.7190999999998 33.43119682220897, -111.7190999999998 33.43139900000046, -111.7190999999998 33.43161542331173, -111.7190999999998 33.43181000000054, -111.7190999999998 33.43215960474551, -111.7190999999998 33.4326828561241, -111.7190956462359 33.43343671327644, -111.7190867845018 33.4339388782163, -111.719081304124 33.43424943294436, -111.7190752436031 33.43459286248783, -111.7190699999996 33.43489000000083, -111.7190678866537 33.43502208412509, -111.719059452947 33.43554919079238, -111.7190514115058 33.43605178087056, -111.7190445468609 33.43648082118104, -111.7190353254854 33.43705715715944, -111.7190299999998 33.43739000000073, -111.7190299999998 33.43765429835478, -111.7190228929693 33.4378725002142, -111.71902 33.43795900000092, -111.7190099999996 33.4380490000009, -111.7189940952799 33.43839134909327, -111.7189707598159 33.43889364495683, -111.7189744873657 33.43928245139153, -111.7189775193353 33.43953410484836, -111.7189799999998 33.43974000000084, -111.7189906229095 33.44003744147815, -111.7190067981967 33.44049122884886, -111.7189791282401 33.44094397339329, -111.7189580830511 33.44151373838154, -111.7189301593315 33.44215086458259, -111.7189198513281 33.4423860588598, -111.7189110434701 33.44258702482171, -111.7188999999997 33.44283900000092, -111.7188999999997 33.4432418160593, -111.7188999999997 33.4436612993705, -111.7188999999997 33.44398010668687, -111.7188999999997 33.44460000000434, -111.7188945609777 33.44499378518925, -111.7188885350247 33.4454300641876, -111.718880184995 33.44603460633585, -111.7188741590424 33.4464708853342, -111.7188685966241 33.44687360440971, -111.7188593259272 33.44754480286883, -111.7188499999998 33.44822000000561, -111.718843625441 33.4485514770683, -111.7188313653558 33.44918900147952, -111.7188184600038 33.44986007980718, -111.7188036188482 33.45063181988382, -111.7187958756368 33.45103446688046, -111.7187952303694 33.45106802079673, -111.7187893981425 33.45137129657935, -111.7187862905177 33.45185993694609, -111.7187799999998 33.45186000000108, -111.7181691082591 33.45186000000108, -111.7170749057665 33.45186000000108, -111.7159807032736 33.45186000000108, -111.7153599999996 33.45186000000108, -111.714540963152 33.45186000000108, -111.7136771032073 33.45187283394583, -111.71326 33.45186000000108, -111.7128132750061 33.45186000000108, -111.7124499999996 33.45186000000108, -111.7116902281595 33.45186669402597, -111.7109992065424 33.45187278232223, -111.7106536957338 33.45187582647028, -111.7101799999999 33.45188000000113, -111.7098185898443 33.45187382204965, -111.7094443667626 33.4518674250739, -111.70901 33.45186000000108, -111.7082637517456 33.45185893673036, -111.7074287168521 33.45185547185522, -111.7069390941601 33.45185344022578, -111.7064783852534 33.45185152857058, -111.70611 33.45185000000096, -111.7057873238544 33.45184470233306, -111.70544 33.45183900000112, -111.7043765943841 33.45185589264236, -111.7031675177877 33.45187509932784, -111.7021023788821 33.45189201950315, -111.7016 33.45190000000492, -111.7016001935284 33.45187213188235, -111.701601806381 33.45163988108616, -111.7016048365281 33.45120353989898, -111.7016140842255 33.45026382101902, -111.7016259734449 33.44969274219461, -111.7016322600386 33.44939077614618, -111.7016399999998 33.44901900000582, -111.7016448466706 33.44878684447564, -111.7016499999998 33.4485400000058, -111.7016480237096 33.44841747001396, -111.7016447762005 33.44821612444085, -111.7016399999998 33.44792000000584, -111.7016403450399 33.44790602587483, -111.7016451175702 33.44771273840524, -111.7016476229013 33.447611272491, -111.7016517643671 33.44744354312247, -111.7016599999998 33.44711000000596, -111.7016580954926 33.4470081088731, -111.7016524507932 33.44670611745314, -111.7016449128039 33.44630283503786, -111.7016399999998 33.44604000000607, -111.7016571124397 33.44569775120753, -111.7016855726655 33.44512854668756, -111.7016699999997 33.44462900000408))",15.02
4,Alta Mira,Tempe,1,2,0,0,3,111394,Maricopa,AZ,"POLYGON ((-111.9025398819999 33.33471201300005, -111.9025035279999 33.32742580300003, -111.904563 33.327453, -111.9075009999999 33.327844, -111.90751 33.327878, -111.908323 33.327706, -111.9111479999999 33.327627, -111.9111931009999 33.32761656300004, -111.9111619379999 33.32773401800005, -111.9111559389999 33.32815601300006, -111.9111619039999 33.328699, -111.9111619369999 33.32870201500008, -111.9111559389999 33.32951501300004, -111.9111559389999 33.32957201500005, -111.9111629369999 33.33053201500007, -111.9111628959999 33.33145610800005, -111.9111628949999 33.33147458500007, -111.9111579369999 33.33260601500006, -111.9111629389999 33.33462701200005, -111.9078399369999 33.33466801400004, -111.9068169359999 33.33467401500007, -111.9062329369999 33.33467401500007, -111.9040989359999 33.33470301500005, -111.9029309359999 33.33470601400006, -111.9025398819999 33.33471201300005))",16.67
5,Amberwood North,Chandler,10,23,2,2,37,417713,Maricopa,AZ,"POLYGON ((-111.8486699999999 33.349719, -111.8480977859998 33.349719, -111.84751 33.349719, -111.8467877709998 33.34971688300011, -111.8458114729999 33.34971402100005, -111.8449835829999 33.34971159400012, -111.8444399999998 33.34971000000017, -111.8439290379999 33.34970327700005, -111.8429763959998 33.34966262100006, -111.8426674239999 33.34964850700014, -111.8417599999999 33.34964, -111.8417599999999 33.34919813900017, -111.8417579919999 33.34896022300003, -111.8417527419999 33.34838821500013, -111.8417483679999 33.34791168700014, -111.8417442149999 33.34745919300018, -111.84174 33.34700000000011, -111.84174 33.34665161400007, -111.8439132059998 33.34663372800019, -111.8438522689999 33.34200250000016, -111.8417199999998 33.34202215200018, -111.8417199999998 33.34073, -111.8417199999998 33.34024277200004, -111.8417199999998 33.33954000000016, -111.8417189569998 33.33907570600011, -111.8417127479998 33.33631284100004, -111.8417100029999 33.33509124300004, -111.8422863249999 33.33509, -111.8430723009998 33.33509, -111.8444060789999 33.33509, -111.8461209369999 33.33509, -111.8469786569998 33.33508393000005, -111.8474070459999 33.33508046900003, -111.8479071979999 33.33508322000017, -111.8481931299998 33.33508479200012, -111.8485503809999 33.33508675700002, -111.8491399999998 33.33509, -111.8496221039999 33.33509, -111.8503799999999 33.33509, -111.8505983229999 33.33508629200007, -111.8507179309998 33.335083302, -111.8510035169999 33.33507900000018, -111.8513374179999 33.33508409300016, -111.8515199999999 33.33509, -111.8518609459999 33.33509, -111.85225 33.33509, -111.8524325649999 33.33509, -111.8526899999999 33.335099, -111.8531470889999 33.335099, -111.8537399999999 33.335099, -111.8542188749999 33.335099, -111.8546534619998 33.335099, -111.8562195429999 33.335099, -111.8581249399998 33.335099, -111.8586121889999 33.3350900280002, -111.8587683569999 33.33508715300005, -111.8590680409997 33.33507905300027, -111.8590637829998 33.33538372600017, -111.8590555159999 33.33578894000012, -111.8590443449998 33.33633651400013, -111.8590370499998 33.33669411300014, -111.8590249069999 33.33728930200009, -111.8590099999998 33.33802000000016, -111.8590099999998 33.33806115800019, -111.8590099999998 33.33848027900014, -111.8590099999998 33.33890000000014, -111.8590099999998 33.33936152500004, -111.8590099999998 33.34002841500016, -111.8590099999998 33.34060000000011, -111.8590052359999 33.34093346500008, -111.8589991079999 33.34136243200013, -111.8589946859999 33.34167199600017, -111.8589899999998 33.34200000000013, -111.8589899999998 33.34243490100013, -111.8568335879999 33.34243490100013, -111.8547663539999 33.34243490100013, -111.8547663539999 33.34325360700002, -111.8547868219999 33.34614978000011, -111.8547663539999 33.34653866600014, -111.8548072899999 33.34701965500005, -111.8548173139999 33.349726321, -111.8546475819999 33.34972598600007, -111.8525992879998 33.349721941, -111.8511099999999 33.349719, -111.8506700729998 33.349719, -111.8498364619998 33.349719, -111.8486699999999 33.349719))",15.13
