zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,affluence,yelp_perc_1,yelp_perc_2,yelp_perc_3,yelp_perc_4,city
15122,11,33,2,0,46,PA,3940.0,2790.0,1660.0,1060.0,930.0,80.0,48745.21988527725,0.2391304347826087,0.7173913043478259,0.043478260869565216,0.0,West Mifflin
15126,1,4,1,0,6,PA,1220.0,870.0,590.0,460.0,670.0,100.0,64066.496163682874,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,Imperial
15129,2,2,1,1,6,PA,1760.0,1310.0,890.0,650.0,1040.0,160.0,65339.93115318418,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,Library
15131,6,9,2,1,18,PA,1480.0,1180.0,770.0,460.0,460.0,60.0,53316.32653061225,0.3333333333333333,0.5,0.1111111111111111,0.05555555555555555,White Oak
15132,7,6,1,0,14,PA,4540.0,2350.0,900.0,430.0,310.0,20.0,33947.36842105263,0.5,0.42857142857142855,0.07142857142857142,0.0,McKeesport
15133,0,0,1,0,1,PA,1230.0,1010.0,550.0,320.0,230.0,0.0,44947.60479041916,0.0,0.0,1.0,0.0,Clairton
15136,14,24,7,1,46,PA,4560.0,2910.0,1400.0,960.0,1290.0,300.0,53075.74430823117,0.3043478260869565,0.5217391304347826,0.15217391304347827,0.021739130434782608,McKees Rocks
15137,3,13,6,0,22,PA,2080.0,1580.0,770.0,430.0,360.0,30.0,44285.714285714275,0.13636363636363635,0.5909090909090909,0.2727272727272727,0.0,North Versailles
15139,7,9,3,0,19,PA,1040.0,790.0,490.0,380.0,610.0,270.0,74162.01117318436,0.3684210526315789,0.4736842105263158,0.15789473684210525,0.0,Oakmont
15140,1,2,0,0,3,PA,740.0,370.0,160.0,60.0,60.0,0.0,34082.73381294964,0.3333333333333333,0.6666666666666666,0.0,0.0,Pitcairn
15142,0,1,0,0,1,PA,200.0,170.0,130.0,100.0,190.0,310.0,119772.72727272726,0.0,1.0,0.0,0.0,Presto
15143,8,20,4,0,32,PA,2740.0,1440.0,1130.0,980.0,2190.0,2040.0,102958.65019011409,0.25,0.625,0.125,0.0,Sewickley
15144,5,3,0,0,8,PA,810.0,620.0,330.0,220.0,200.0,0.0,47362.38532110092,0.625,0.375,0.0,0.0,Springdale
15145,1,5,1,0,7,PA,1600.0,1060.0,400.0,190.0,150.0,30.0,38301.74927113703,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,Turtle Creek
15146,39,91,17,2,149,PA,4760.0,3480.0,2460.0,1680.0,2090.0,410.0,60937.5,0.26174496644295303,0.610738255033557,0.11409395973154365,0.013422818791946308,Monroeville
15147,9,9,3,1,22,PA,3170.0,2500.0,1360.0,820.0,770.0,110.0,49613.40206185566,0.4090909090909091,0.4090909090909091,0.13636363636363635,0.045454545454545456,Verona
15148,1,2,1,0,4,PA,580.0,350.0,120.0,50.0,30.0,0.0,32522.123893805314,0.25,0.5,0.25,0.0,Wilmerding
15201,42,78,10,2,132,PA,2290.0,2300.0,1180.0,670.0,680.0,200.0,54542.34972677597,0.3181818181818182,0.5909090909090909,0.07575757575757576,0.015151515151515154,Pittsburgh
15202,10,23,13,1,47,PA,3640.0,3240.0,1550.0,900.0,1010.0,240.0,52374.763705103964,0.2127659574468085,0.4893617021276596,0.2765957446808511,0.02127659574468085,Pittsburgh
15203,70,107,18,0,195,PA,1590.0,1580.0,930.0,420.0,540.0,190.0,57619.047619047626,0.35897435897435903,0.5487179487179488,0.09230769230769233,0.0,Pittsburgh
15205,33,86,11,4,134,PA,4110.0,3480.0,1960.0,1100.0,1320.0,300.0,54900.16299918501,0.2462686567164179,0.6417910447761194,0.08208955223880597,0.02985074626865672,Pittsburgh
15206,35,63,7,3,108,PA,5220.0,4100.0,1870.0,1000.0,1350.0,700.0,56241.22191011236,0.3240740740740741,0.5833333333333334,0.06481481481481481,0.027777777777777776,Pittsburgh
15207,3,8,1,0,12,PA,2150.0,1550.0,710.0,440.0,400.0,30.0,44578.59848484849,0.25,0.6666666666666666,0.08333333333333333,0.0,Pittsburgh
15208,3,4,0,0,7,PA,2010.0,1050.0,410.0,220.0,400.0,390.0,59570.3125,0.42857142857142855,0.5714285714285714,0.0,0.0,Pittsburgh
15209,7,13,1,2,23,PA,2180.0,1730.0,1050.0,720.0,860.0,130.0,57308.845577211396,0.3043478260869565,0.5652173913043478,0.043478260869565216,0.08695652173913042,Millvale
15210,10,13,2,0,25,PA,5840.0,3770.0,1320.0,640.0,460.0,30.0,35603.23383084577,0.4,0.52,0.08,0.0,Pittsburgh
15211,11,13,0,0,24,PA,2040.0,2080.0,1040.0,500.0,580.0,180.0,53621.49532710281,0.4583333333333333,0.5416666666666666,0.0,0.0,Pittsburgh
15212,41,59,8,1,109,PA,5320.0,4200.0,1970.0,1040.0,1070.0,200.0,47001.8115942029,0.3761467889908257,0.5412844036697247,0.07339449541284404,0.009174311926605505,Pittsburgh
15213,51,118,18,3,190,PA,2550.0,1370.0,590.0,300.0,410.0,400.0,54782.02846975089,0.2684210526315789,0.6210526315789474,0.09473684210526316,0.015789473684210527,Pittsburgh
15214,4,1,0,0,5,PA,2940.0,1970.0,910.0,540.0,550.0,50.0,44504.31034482759,0.8,0.2,0.0,0.0,Pittsburgh
15215,15,28,6,3,52,PA,2070.0,1330.0,750.0,550.0,920.0,700.0,76542.72151898734,0.28846153846153844,0.5384615384615384,0.1153846153846154,0.0576923076923077,Pittsburgh
15216,28,40,10,0,78,PA,4000.0,3490.0,1840.0,1090.0,1490.0,400.0,58062.550771730304,0.35897435897435903,0.5128205128205128,0.1282051282051282,0.0,Pittsburgh
15217,52,74,13,4,143,PA,3440.0,2330.0,1600.0,1010.0,1970.0,1810.0,87726.15131578947,0.3636363636363637,0.5174825174825175,0.09090909090909093,0.02797202797202797,Pittsburgh
15218,7,18,2,1,28,PA,2510.0,1980.0,1030.0,650.0,830.0,300.0,58407.53424657534,0.25,0.6428571428571429,0.07142857142857142,0.03571428571428571,Swissvale
15219,32,60,7,2,101,PA,2690.0,1320.0,440.0,220.0,230.0,90.0,37449.899799599196,0.31683168316831684,0.594059405940594,0.06930693069306931,0.0198019801980198,Pittsburgh
15220,19,25,6,4,54,PA,2720.0,2300.0,1620.0,1220.0,1410.0,240.0,63065.1945320715,0.35185185185185186,0.462962962962963,0.1111111111111111,0.07407407407407407,Pittsburgh
15221,16,15,4,0,35,PA,6140.0,4420.0,1990.0,1160.0,1230.0,300.0,47760.826771653534,0.4571428571428571,0.42857142857142855,0.11428571428571427,0.0,Pittsburgh
15222,102,166,37,7,312,PA,660.0,510.0,430.0,300.0,510.0,430.0,93133.8028169014,0.3269230769230769,0.532051282051282,0.11858974358974357,0.02243589743589744,Pittsburgh
15223,9,13,1,1,24,PA,1470.0,1190.0,630.0,340.0,260.0,20.0,45044.75703324808,0.375,0.5416666666666666,0.04166666666666666,0.04166666666666666,Pittsburgh
15224,26,45,6,1,78,PA,2200.0,1970.0,820.0,270.0,330.0,90.0,43705.985915492965,0.3333333333333333,0.5769230769230769,0.07692307692307693,0.01282051282051282,Pittsburgh
15225,1,3,0,0,4,PA,230.0,200.0,90.0,50.0,40.0,0.0,43237.70491803279,0.25,0.75,0.0,0.0,Pittsburgh
15226,8,19,4,2,33,PA,2470.0,2170.0,1300.0,750.0,670.0,50.0,50219.29824561403,0.24242424242424246,0.5757575757575758,0.12121212121212123,0.060606060606060615,Pittsburgh
15227,13,21,3,0,37,PA,5100.0,4240.0,2500.0,1530.0,1670.0,190.0,53241.956664478006,0.35135135135135137,0.5675675675675675,0.08108108108108109,0.0,Pittsburgh
15228,21,31,4,2,58,PA,2360.0,1440.0,990.0,850.0,2000.0,1170.0,92196.36776390462,0.3620689655172414,0.5344827586206896,0.06896551724137931,0.03448275862068965,Pittsburgh
